Start of the Ejecta,End of the Ejecta,MC
2005-06-12T06:49:30,2005-06-12T15:00:00,2005-06-13T11:46:30
2005-06-14T17:53:15,2005-06-15T05:15:00,2005-06-16T08:08:15
2005-07-10T02:42:00,2005-07-10T10:48:00,2005-07-12T04:10:01
2005-07-17T00:49:30,2005-07-17T15:18:00,2005-07-17T21:27:00
,2005-08-08T23:33:00,2005-08-09T11:33:00
,2005-08-10T07:03:00,2005-08-10T13:39:00
2005-08-24T05:37:30,2005-08-24T17:55:30,2005-08-25T12:45:00
2005-09-02T13:48:00,2005-09-02T20:24:00,2005-09-03T05:06:00
2005-09-11T00:58:30,2005-09-11T05:55:30,2005-09-12T06:50:37
2005-09-12T06:00:00,2005-09-12T20:10:30,2005-09-13T13:07:30
2005-09-15T08:37:30,2005-09-15T15:56:15,2005-09-16T17:37:30
,2005-09-21T01:01:52,2005-09-21T17:10:29
,2005-10-31T02:46:30,2005-10-31T21:00:00
,2005-12-31T13:48:00,2006-01-01T15:43:52
,2006-02-05T20:39:45,2006-02-06T12:40:30
2006-04-13T11:19:30,2006-04-13T15:45:00,2006-04-14T11:01:29
,2006-06-17T21:40:30,2006-06-18T07:39:00
2006-07-09T20:37:30,2006-07-10T20:06:00,2006-07-11T17:24:00
2006-08-19T10:57:00,2006-08-20T13:25:30,2006-08-21T15:45:00
,2006-09-30T09:08:37,2006-09-30T19:43:52
,2006-11-01T22:12:00,2006-11-02T14:24:00
,2006-11-29T04:54:45,2006-11-30T14:15:00
2006-12-14T13:49:13,2006-12-14T22:57:39,2006-12-15T11:53:54
2006-12-16T17:33:00,2006-12-17T01:21:00,2006-12-17T19:30:00
,2007-01-14T11:47:43,2007-01-15T07:06:33
,2007-05-21T22:24:00,2007-05-22T13:15:00
,2007-09-19T17:36:05,2007-09-20T03:54:50
2007-11-19T17:21:00,2007-11-19T23:28:30,2007-11-20T12:35:59
,2007-12-25T19:03:00,2007-12-26T07:39:00
,2008-04-15T12:40:30,2008-04-16T00:04:30
,2008-07-25T13:17:20,2008-07-25T23:12:28
,2008-09-17T04:20:00,2008-09-18T08:00:00
,2008-10-08T04:48:00,2008-10-08T20:19:30
,2008-12-04T17:07:18,2008-12-05T10:48:00
,2008-12-17T03:24:45,2008-12-17T14:35:31
,2009-01-26T04:59:15,2009-01-26T14:51:00
2009-02-03T19:21:00,2009-02-04T00:18:00,2009-02-04T16:43:30
,2009-03-12T00:26:43,2009-03-12T08:33:00
2009-06-27T11:06:00,2009-06-27T18:36:00,2009-06-28T16:03:00
,2009-07-21T04:33:45,2009-07-21T18:56:03
,2009-08-05T12:31:30,2009-08-06T05:55:30
,2009-09-30T09:02:48,2009-10-01T00:27:45
,2009-10-16T22:30:00,2009-10-17T08:18:00
,2009-10-17T20:37:30,2009-10-18T11:28:30
,2009-10-29T05:01:30,2009-10-29T23:01:30
,2009-11-14T10:41:15,2009-11-14T17:29:37
,2009-12-12T19:48:00,2009-12-13T21:54:00
,2010-01-01T22:03:00,2010-01-02T14:06:00
,2010-02-07T23:17:15,2010-02-08T22:48:00
2010-02-10T23:57:45,2010-02-11T11:33:00,2010-02-11T22:21:00
,2010-02-12T13:16:58,2010-02-13T04:20:48
,2010-02-13T22:14:14,2010-02-14T11:38:15
,2010-02-15T11:53:48,2010-02-15T22:28:18
2010-02-15T17:37:30,2010-02-16T04:01:52,2010-02-16T11:31:52
,2010-02-19T19:57:00,2010-02-22T02:12:45
2010-04-05T07:50:48,2010-04-05T13:09:45,2010-04-06T13:12:33
,2010-04-09T19:07:30,2010-04-10T10:25:30
2010-04-11T12:18:00,2010-04-12T01:07:30,2010-04-12T12:49:30
,2010-04-22T05:06:00,2010-04-22T15:22:30
,2010-04-30T06:09:00,2010-05-01T07:12:00
2010-05-28T01:57:00,2010-05-28T19:43:30,2010-05-29T16:57:00
,2010-06-21T07:30:00,2010-06-22T06:47:15
2010-08-03T17:01:30,2010-08-04T09:54:00,2010-08-05T00:56:15
,2011-01-24T10:18:11,2011-01-24T23:49:18
,2011-01-25T00:20:48,2011-01-25T06:23:03
2011-02-04T01:45:45,2011-02-04T09:29:15,2011-02-04T20:57:50
2011-02-18T00:47:15,2011-02-18T19:54:45,2011-02-20T08:42:00
2011-03-29T15:12:39,2011-03-30T00:21:05,2011-03-31T00:50:37
,2011-03-31T10:20:09,2011-04-01T05:54:22
2011-05-28T00:18:00,2011-05-28T05:33:00,2011-05-28T21:54:00
2011-06-04T20:06:00,2011-06-05T01:57:00,2011-06-05T18:18:00
,2011-07-15T06:29:15,2011-07-16T10:50:15
2011-08-05T17:33:00,2011-08-06T22:16:30,2011-08-08T00:36:00
2011-09-17T02:56:14,2011-09-17T15:37:30,2011-09-18T08:15:00
,2011-09-18T12:24:00,2011-09-18T20:12:00
2011-10-05T06:45:00,2011-10-05T09:49:30,2011-10-05T18:45:00
,2011-10-06T14:06:00,2011-10-06T21:36:00
,2011-10-22T21:33:45,2011-10-23T14:55:29
2011-10-24T17:37:30,2011-10-25T00:32:37,2011-10-25T12:41:37
,2011-10-28T23:45:28,2011-10-29T13:12:51
2011-10-30T08:39:45,2011-10-31T00:58:30,2011-11-01T17:19:00
2011-11-01T08:06:00,2011-11-02T02:46:30,2011-11-03T04:25:30
,2011-11-07T16:38:26,2011-11-07T22:38:26
2011-11-28T20:57:45,2011-11-29T01:50:15,2011-11-29T07:43:30
,2011-12-29T22:21:00,2011-12-30T20:15:00
